"","plant_species_name","moth_taxon_count","numOb"
"1","Abelia",2,2
"2","Abelia × grandiflora",2,4
"3","Achillea millefolium",1,1
"4","Aesculus parviflora",2,7
"5","Agapanthus",1,1
"6","Agastache",3,6
"7","Agastache foeniculum",2,8
"8","Agastache mexicana",1,1
"9","Agastache rugosa",1,1
"10","Ajuga",1,1
"11","Albizia julibrissin",1,1
"12","Allium schoenoprasum",5,6
"13","Amsonia",4,4
"14","Amsonia hubrichtii",1,1
"15","Amsonia tabernaemontana",2,2
"16","Angiospermae",1,1
"17","Apocynum androsaemifolium",3,22
"18","Apocynum cannabinum",3,4
"19","Aquilegia",1,3
"20","Arctium lappa",1,2
"21","Arctostaphylos uva-ursi",1,1
"22","Asclepias",2,3
"23","Asclepias incarnata",2,54
"24","Asclepias incarnata pulchra",1,1
"25","Asclepias syriaca",8,113
"26","Asclepias tuberosa",1,1
"27","Asteraceae",1,1
"28","Atocion armeria",3,11
"29","Begonia cucullata",1,1
"30","Betonica officinalis",1,1
"31","Browallia speciosa",1,1
"32","Buddleja",2,7
"33","Buddleja davidii",7,341
"34","Buddleja × weyeriana",2,3
"35","Calibrachoa",3,8
"36","Calibrachoa parviflora",1,1
"37","Campanula rapunculoides",1,1
"38","Campsis radicans",1,1
"39","Carduinae",1,1
"40","Carduus acanthoides",3,12
"41","Carduus nutans",1,1
"42","Caryopteris × clandonensis",1,1
"43","Catharanthus",2,2
"44","Catharanthus roseus",2,3
"45","Centaurea",4,21
"46","Centaurea cyanus",1,1
"47","Centaurea nigra",1,1
"48","Centaurea stoebe",3,11
"49","Centranthus ruber",1,1
"50","Cephalanthus occidentalis",2,75
"51","Ceratostigma plumbaginoides",2,5
"52","Chamaenerion angustifolium",1,1
"53","Chrysanthemum",1,1
"54","Cichorium intybus",2,9
"55","Cirsium",2,3
"56","Cirsium arvense",2,2
"57","Cirsium discolor",2,22
"58","Cirsium muticum",1,3
"59","Cirsium pumilum",2,6
"60","Cirsium vulgare",3,12
"61","Clematis virginiana",2,2
"62","Cleome houtteana",3,3
"63","Clerodendrum bungei",1,1
"64","Clethra alnifolia",1,3
"65","Clinopodium nepeta",1,1
"66","Clinopodium vulgare",2,3
"67","Coreopsis verticillata",1,1
"68","Cornus amomum",1,1
"69","Cosmos atrosanguineus",1,1
